date,收盘,开盘,高,低
2022/12/30,7.3814,7.4254,7.4303,7.3439
2022/12/29,7.4227,7.4044,7.445,7.3888
2022/12/28,7.403,7.4069,7.4474,7.3948
2022/12/27,7.404,7.4061,7.4292,7.3935
2022/12/26,7.403,7.417,7.4338,7.3874
2022/12/23,7.4171,7.4001,7.4324,7.3938
2022/12/22,7.397,7.4053,7.4392,7.3843
2022/12/21,7.402,7.3969,7.4292,7.3906
2022/12/20,7.3922,7.4026,7.4338,7.3785
2022/12/19,7.3993,7.3854,7.4289,7.3788
2022/12/16,7.3765,7.4103,7.4353,7.3805
2022/12/15,7.408,7.4257,7.4725,7.3867
2022/12/14,7.4238,7.3841,7.4346,7.3754
2022/12/13,7.3804,7.3502,7.4482,7.3481
2022/12/12,7.3506,7.3258,7.3824,7.3105
2022/12/9,7.3246,7.3569,7.3753,7.3102
2022/12/8,7.3521,7.3259,7.3614,7.3116
2022/12/7,7.3222,7.3245,7.3618,7.2915
2022/12/6,7.3215,7.3025,7.3664,7.3018
2022/12/5,7.3028,7.3821,7.4228,7.2958
2022/12/2,7.3966,7.4132,7.4325,7.3196
2022/12/1,7.41,7.3811,7.442,7.3484
2022/11/30,7.375,7.3948,7.4067,7.2977
2022/11/29,7.3908,7.4532,7.4625,7.3881
2022/11/28,7.4503,7.4391,7.5489,7.4165
2022/11/25,7.4472,7.4445,7.4728,7.4323
2022/11/24,7.4417,7.4455,7.4634,7.4213
2022/11/23,7.4407,7.3573,7.4509,7.3541
2022/11/22,7.3544,7.3394,7.3602,7.3197
2022/11/21,7.3367,7.346,7.393,7.3247
2022/11/18,7.3499,7.4155,7.4273,7.3421
2022/11/17,7.4127,7.3689,7.4216,7.359
2022/11/16,7.3626,7.2868,7.3883,7.2808
2022/11/15,7.2884,7.3039,7.3713,7.2414
2022/11/14,7.3008,7.3688,7.3699,7.2488
2022/11/11,7.3568,7.3372,7.3678,7.2442
2022/11/10,7.3334,7.2509,7.3535,7.208
2022/11/9,7.2488,7.3029,7.3148,7.2365
2022/11/8,7.3007,7.2452,7.3196,7.2307
2022/11/7,7.2403,7.1207,7.2549,7.1125
2022/11/4,7.1539,7.119,7.1617,7.0498
2022/11/3,7.1182,7.1581,7.1925,7.1131
2022/11/2,7.1556,7.1865,7.2729,7.1533
2022/11/1,7.1814,7.2164,7.2529,7.1701
2022/10/31,7.2161,7.214,7.2599,7.2093
2022/10/28,7.2231,7.2033,7.2417,7.1961
2022/10/27,7.1964,7.2296,7.2884,7.1979
2022/10/26,7.2262,7.2446,7.2762,7.1782
2022/10/25,7.2426,7.1715,7.2873,7.1686
2022/10/24,7.1714,7.1474,7.1864,7.1199
2022/10/21,7.1385,7.0616,7.1492,7.0329
2022/10/20,7.0564,7.0647,7.1104,7.05
2022/10/19,7.0625,7.097,7.1122,7.0521
2022/10/18,7.0957,7.0799,7.1093,7.0651
2022/10/17,7.078,6.994,7.0907,6.9889
2022/10/14,6.9875,7.0092,7.042,6.9802
2022/10/13,7.0087,6.961,7.0318,6.9173
2022/10/12,6.9597,6.9563,6.982,6.9365
2022/10/11,6.9511,6.9413,7.0046,6.9392
2022/10/10,6.9394,6.9285,6.9694,6.9114
2022/10/7,6.9293,6.9665,6.9861,6.9207
2022/10/6,6.9648,7.0299,7.0641,6.9648
2022/10/5,7.0296,7.1061,7.1128,6.9978
2022/10/4,7.1014,6.9929,7.1164,6.9776
