date,收盘,开盘,高,低
2022/12/30,8.3435,8.4011,8.4043,8.2853
2022/12/29,8.3912,8.3853,8.4128,8.368
2022/12/28,8.384,8.3709,8.46,8.3567
2022/12/27,8.3666,8.3985,8.4334,8.357
2022/12/26,8.395,8.4186,8.4438,8.3888
2022/12/23,8.4261,8.4121,8.449,8.3936
2022/12/22,8.4095,8.4323,8.4788,8.3757
2022/12/21,8.4351,8.4813,8.4897,8.4155
2022/12/20,8.478,8.4846,8.5309,8.4294
2022/12/19,8.4745,8.4726,8.5337,8.4587
2022/12/16,8.4626,8.493,8.5241,8.448
2022/12/15,8.4886,8.6371,8.6417,8.4767
2022/12/14,8.6323,8.5828,8.6521,8.5702
2022/12/13,8.5774,8.5642,8.6884,8.5499
2022/12/12,8.5611,8.523,8.5828,8.4972
2022/12/9,8.5245,8.5243,8.5756,8.4924
2022/12/8,8.5202,8.5069,8.5344,8.4733
2022/12/7,8.5029,8.4907,8.5323,8.4531
2022/12/6,8.488,8.4832,8.5841,8.479
2022/12/5,8.4841,8.6104,8.6593,8.4662
2022/12/2,8.6242,8.633,8.6532,8.5178
2022/12/1,8.6206,8.5507,8.6966,8.5184
2022/11/30,8.5452,8.5561,8.5764,8.4393
2022/11/29,8.5545,8.6207,8.6416,8.5511
2022/11/28,8.6157,8.6543,8.7155,8.6059
2022/11/25,8.6637,8.6625,8.6862,8.6464
2022/11/24,8.6587,8.6309,8.6932,8.6117
2022/11/23,8.6268,8.4861,8.6514,8.4797
2022/11/22,8.483,8.473,8.499,8.4415
2022/11/21,8.4686,8.4649,8.502,8.4342
2022/11/18,8.4605,8.4901,8.518,8.4531
2022/11/17,8.4874,8.446,8.5229,8.4192
2022/11/16,8.4367,8.3587,8.4542,8.339
2022/11/15,8.3528,8.3126,8.457,8.2773
2022/11/14,8.3098,8.3913,8.401,8.2591
2022/11/11,8.4107,8.4202,8.4279,8.3007
2022/11/10,8.4146,8.2254,8.4326,8.2203
2022/11/9,8.2219,8.3674,8.382,8.2072
2022/11/8,8.3619,8.3234,8.4095,8.2871
2022/11/7,8.3185,8.1221,8.3451,8.1209
2022/11/4,8.1702,8.1529,8.1839,8.0557
2022/11/3,8.1505,8.3077,8.3505,8.1416
2022/11/2,8.3014,8.3582,8.4316,8.3011
2022/11/1,8.3516,8.3768,8.4244,8.3225
2022/10/31,8.3741,8.419,8.4578,8.368
2022/10/28,8.4171,8.3588,8.4306,8.3349
2022/10/27,8.3537,8.3335,8.4106,8.3271
2022/10/26,8.3377,8.3424,8.4024,8.2913
2022/10/25,8.3351,8.1934,8.4022,8.1854
2022/10/24,8.1889,8.2275,8.2652,8.176
2022/10/21,8.1825,8.1081,8.1974,8.0148
2022/10/20,8.108,8.1128,8.1882,8.0772
2022/10/19,8.1055,8.1528,8.1919,8.0846
2022/10/18,8.1491,8.173,8.2118,8.1037
2022/10/17,8.1731,8.0373,8.2298,8.037
2022/10/14,8.0307,8.1246,8.1491,8.0187
2022/10/13,8.1215,7.9676,8.1611,7.9459
2022/10/12,7.9581,7.8587,7.9888,7.8397
2022/10/11,7.8538,7.9104,8.012,7.8476
