date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2018-12-03,-2.731276422739028,39.64367876946926,-25.364363461732864,8.758,8.886,8.9034,8.7522
2018-12-04,17.784759879112244,24.590352460741997,-31.3242709338665,8.697,8.7583,8.7848,8.6553
2018-12-05,27.49620545655489,20.712166011333466,-34.53832125663757,8.731,8.699,8.7814,8.6881
2018-12-06,9.575583353638647,35.38142141327262,-31.23449817299843,8.7992,8.7297,8.8184,8.7194
2018-12-07,20.291410356760025,22.376909675076604,-30.367271065711975,8.7517,8.8009,8.8201,8.7393
2018-12-10,-9.872917085886002,51.637025974690914,-25.53087729215622,8.6836,8.7544,8.818,8.6449
2018-12-11,-1.741372063755989,58.099362552165985,-36.316315561532974,8.6167,8.6801,8.7281,8.6112
2018-12-12,15.049074172973633,29.18867542827502,-29.87791931629181,8.6881,8.6142,8.719,8.5942
2018-12-13,3.534625247120858,36.883431389927864,-25.736462444067,8.7104,8.6886,8.7282,8.6641
2018-12-14,21.553846329450607,47.72422977164388,-46.48177808523178,8.6926,8.7104,8.7242,8.6521
2018-12-17,-2.7523404955863953,38.5398473739624,-24.1568843126297,8.7091,8.6953,8.7238,8.674
2018-12-18,-7.937034606933594,81.80520397424698,-45.80078399181366,8.7186,8.7076,8.763,8.6922
2018-12-19,13.68377533555031,46.60031897760928,-38.52774587273598,8.6911,8.7192,8.7452,8.6904
2018-12-20,-4.151508897542953,79.290851874277,-48.746509313583374,8.7148,8.6938,8.7545,8.6917
2018-12-21,11.855544000864029,51.162883304059505,-41.81032755970955,8.724,8.7155,8.7675,8.7066
2018-12-24,-1.7826598584651938,56.7049316316843,-34.67066632211208,8.7784,8.7376,8.7922,8.7168
2018-12-25,-14.196884214878082,86.19583102315664,-43.89600297808647,8.7374,8.7794,8.7975,8.7203
2018-12-26,3.5940972715616226,46.539116874337196,-35.07814547419548,8.699,8.7292,8.7665,8.6969
2018-12-27,31.57820425927639,24.50876596197486,-38.93453952670097,8.6817,8.6982,8.7323,8.6626
2018-12-28,42.40348298847675,35.283074244856834,-54.36724206805229,8.7409,8.6842,8.7444,8.6702
2018-12-31,51.34796606004238,-15.471643671393396,-29.570990353822708,8.7767,8.7236,8.8158,8.7224
2019-01-01,25.455083817243576,-12.065661326050758,-12.709829837083817,8.7715,8.777,8.7797,8.7529
2019-01-02,21.75878213346005,42.170957351103425,-43.389893621206284,8.6526,8.764,8.7736,8.6334
2019-01-03,-2.5984592884778976,77.47384614869952,-48.37113070487976,8.6804,8.6479,8.6928,8.5333
2019-01-04,32.17580061405897,38.81564024090767,-49.7858452796936,8.7431,8.6836,8.7554,8.6715
2019-01-07,33.371356666088104,12.900042658671737,-36.64269933104515,8.756,8.7416,8.7614,8.7157
2019-01-08,21.457869082689285,34.22255386412144,-38.29609730839729,8.717,8.7564,8.778,8.7081
2019-01-09,11.687366239726543,66.73012468079105,-51.90532088279724,8.7176,8.7204,8.7389,8.6795
2019-01-10,27.031771153211594,40.00726157054305,-46.9062864780426,8.6547,8.7134,8.725,8.6364
2019-01-11,23.561800710856915,40.686031837016344,-43.84403637051582,8.6908,8.6636,8.7023,8.5748
2019-01-14,-18.89741277694702,58.84422429651022,-25.38214999437332,8.7071,8.6871,8.7518,8.6551
2019-01-15,22.888130724430088,29.74301704764366,-38.53277489542961,8.6946,8.7053,8.7364,8.5662
2019-01-16,-3.1228059008717537,56.9803214520216,-34.970576256513596,8.7047,8.6979,8.7219,8.6743
2019-01-17,15.524812497198582,35.54855951294303,-36.05944871902466,8.8002,8.7056,8.811,8.6926
2019-01-18,-17.18905507028103,85.0830149948597,-41.30758082866669,8.7279,8.7992,8.8092,8.715
2019-01-21,5.416729241609573,31.858930312097073,-26.6231007874012,8.7644,8.7377,8.778,8.7133
2019-01-22,-3.5142947137355804,47.52824701182544,-29.543010383844376,8.8211,8.7572,8.8347,8.7479
2019-01-23,5.101811587810516,57.62718304991722,-40.38931825757027,8.8768,8.8248,8.8856,8.7762
2019-01-24,12.234256342053413,40.87924402207136,-37.99321514368057,8.8698,8.8793,8.8983,8.8331
2019-01-25,2.984377697110176,47.067998083774,-31.409444987773895,8.9061,8.8663,8.9189,8.8369
2019-01-28,12.18237192928791,7.3733453303575525,-15.94250014424324,8.8774,8.9018,8.9146,8.8584
2019-01-29,34.547372460365295,14.08128821849823,-36.43981975317001,8.7988,8.8811,8.8865,8.7914
2019-01-30,-0.3066259175539017,42.79117064923048,-28.27632388472557,8.8097,8.7995,8.8292,8.7661
2019-01-31,17.560648929327726,29.068708404898643,-32.75144538283348,8.7844,8.8097,8.8251,8.777
2019-02-01,15.009676083922386,23.651600228622556,-26.36944931745529,8.8222,8.7804,8.8396,8.773
2019-02-04,18.20537119358778,4.255752986762673,-15.907547622919083,8.7935,8.8259,8.8393,8.7881
2019-02-05,20.079732850193977,5.939476624131203,-17.709475696086884,8.7305,8.7918,8.806,8.717
2019-02-06,11.51017802208662,24.902689740061764,-25.227106481790543,8.7237,8.7338,8.7554,8.7177
2019-02-07,9.52957734465599,18.81728153117001,-21.384520918130875,8.7376,8.7241,8.7666,8.6701
2019-02-08,-6.932235851883889,36.92662811279297,-19.735116213560104,8.7332,8.7379,8.7527,8.715
2019-02-11,3.6717996150255177,34.04784418269992,-21.696366667747498,8.7288,8.7338,8.7858,8.7175
2019-02-12,30.921660274267197,20.31362646445632,-35.674629002809525,8.7331,8.734,8.7516,8.6923
2019-02-13,18.98571978509426,29.755112536251545,-34.14841756224632,8.6844,8.7327,8.7666,8.6837
2019-02-14,5.338941052556038,42.80158422887325,-33.292693585157394,8.6761,8.6853,8.7127,8.6494
2019-02-15,3.080481879413128,50.24141591787338,-35.625469744205475,8.7304,8.6748,8.7365,8.6623
2019-02-18,23.861687377095222,11.640594370663168,-26.14881080389023,8.7452,8.7275,8.7566,8.7191
2019-02-19,7.441218197345733,50.23653760785237,-41.863298416137695,8.8295,8.7458,8.8369,8.7287
2019-02-20,8.254971727728844,37.95918780937791,-33.7297557592392,8.7715,8.8285,8.8374,8.747
2019-02-21,5.512098684906959,41.76321046054363,-32.56991511583328,8.7703,8.7683,8.7955,8.7258
2019-02-22,-1.7695393115282059,66.40506911277771,-42.06209996342659,8.7644,8.7691,8.7831,8.7129
2019-02-25,17.7711331397295,32.13008559308946,-32.91255336999893,8.7611,8.7815,8.7848,8.7254
2019-02-26,2.4446274861693382,48.67536559700966,-35.666482985019684,8.8785,8.7515,8.9039,8.7515
2019-02-27,-14.104545578360558,74.07831341400743,-38.23443204164505,8.9,8.8808,8.9274,8.8531
2019-02-28,11.656902834773064,35.289295226335526,-32.907648622989655,8.8785,8.8979,8.9146,8.8696
2019-03-01,-3.91137982904911,56.536679442971945,-32.431322544813156,8.8552,8.8759,8.9133,8.8337
2019-03-04,-4.700550779700279,55.64676223695278,-32.645825415849686,8.846,8.8785,8.9047,8.8311
2019-03-05,-0.1151016056537626,49.18744129687548,-33.521487921476364,8.8392,8.8372,8.8506,8.7768
2019-03-06,13.232849568128586,31.890567975118756,-29.922828555107117,8.8396,8.8398,8.8476,8.8039
2019-03-07,-0.08302358537912369,54.74196782428771,-37.23286885023117,8.7866,8.8385,8.8497,8.7744
2019-03-08,15.219095438718796,28.986425019800663,-27.27366141974926,8.7499,8.7866,8.8178,8.7317
2019-03-11,16.48737797141075,33.75465187430382,-33.355571031570435,8.847,8.7552,8.8598,8.7081
2019-03-12,35.44595818221569,13.806832857429981,-37.35103797912598,8.7707,8.8401,8.9349,8.7262
2019-03-13,1.4964904189109791,46.26594477146864,-31.209826171398163,8.9466,8.7704,8.9775,8.7596
2019-03-14,2.3331039398908615,55.02013115445152,-38.97477829456329,8.9026,8.9498,8.9585,8.8817
2019-03-15,13.826086685061455,33.76464332640171,-32.44152989983559,8.9228,8.9023,8.9303,8.8679
2019-03-18,30.285269550979137,17.915550927165896,-35.87596720457077,8.8969,8.9209,8.9317,8.8502
2019-03-19,17.468251317739487,35.40566740185022,-35.705935180187225,8.903,8.8991,8.9357,8.8859
2019-03-20,29.670190885663033,31.01989092119038,-44.16385021805763,8.8302,8.9061,8.9151,8.8005
2019-03-21,-19.230100750923157,70.49038316309452,-32.0062173306942,8.7747,8.8342,8.8532,8.7121
2019-03-22,-10.652779594063759,66.74371339008212,-37.55432963371277,8.8714,8.7821,8.8844,8.7764
2019-03-25,-9.49690866470337,55.98419725894928,-28.561343491077423,8.8558,8.8727,8.8919,8.8321
2019-03-26,18.049475200474262,35.359043100848794,-35.98866567015648,8.8678,8.8524,8.9049,8.833
2019-03-27,2.166746646165848,47.391499508172274,-33.715409487485886,8.8705,8.8701,8.9272,8.846
2019-03-28,-0.1348237991332999,46.97209131717682,-33.07564648985863,8.7899,8.8724,8.8913,8.7837
2019-03-29,4.96911833435297,38.92775306105614,-29.80204001069069,8.7454,8.7904,8.8175,8.7069
2019-04-01,8.585047580301762,32.80207048961893,-26.331321209669113,8.7897,8.7508,8.8286,8.7266
2019-04-02,27.82713620364666,18.995367154479027,-34.74107438325882,8.8277,8.7935,8.8414,8.745
2019-04-03,19.75738187134266,26.38383493805304,-31.865716755390167,8.8294,8.8293,8.8539,8.8067
2019-04-04,14.847474962472916,27.36977882683277,-30.06852748990059,8.7834,8.8326,8.8623,8.7726
2019-04-05,16.611625030636787,30.877459052950144,-29.575662523508072,8.7578,8.7853,8.816,8.7256
2019-04-08,2.5549927055835733,42.42548670247197,-27.314745515584946,8.7722,8.7589,8.7841,8.7488
2019-04-09,9.740771621465683,34.885297829750925,-32.459856033325195,8.7647,8.775,8.8066,8.7452
2019-04-10,0.8689213395118713,49.74050897732377,-35.26052260398865,8.7897,8.7611,8.8124,8.7543
2019-04-11,16.647467553615574,28.623456828296185,-31.931353628635406,8.7707,8.7928,8.805,8.7689
2019-04-12,18.06986454129219,27.923558358103037,-33.181150794029236,8.7694,8.7766,8.8082,8.7603
2019-04-15,-16.18626146018505,52.05791813135147,-22.61454066634178,8.7844,8.7667,8.8033,8.7593
2019-04-16,-1.4828260838985443,49.03484142012894,-29.991082906723022,8.7568,8.7896,8.7971,8.7538
2019-04-17,14.706151589751244,20.50022573582828,-24.977158457040787,8.7219,8.759,8.7681,8.7132
2019-04-18,24.329265654087067,17.894051779061556,-27.01567806303501,8.7178,8.7226,8.7427,8.7073
2019-04-19,-12.306502513587475,44.94045852869749,-20.687044471502304,8.7108,8.7207,8.7256,8.7036
2019-04-22,15.73101595044136,13.1443199403584,-21.30732747912407,8.7125,8.712,8.7297,8.7034
2019-04-23,17.714970514178276,22.962169336155057,-29.84054046869278,8.6993,8.7153,8.7492,8.6931
