date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2018-12-03,-2.731276422739028,39.64367876946926,-25.364363461732864,7.815,7.8742,7.9125,7.802
2018-12-04,17.784759879112244,24.590352460742,-31.3242709338665,7.7572,7.8143,7.8298,7.7381
2018-12-05,27.49620545655489,20.712166011333466,-34.53832125663757,7.7786,7.7542,7.7929,7.7466
2018-12-06,9.575583353638647,35.38142141327262,-31.23449817299843,7.8294,7.7782,7.8556,7.7747
2018-12-07,20.291410356760025,22.376909675076604,-30.36727106571197,7.8232,7.8319,7.8578,7.814
2018-12-10,-9.872917085886002,51.637025974690914,-25.53087729215622,7.8494,7.8412,7.9066,7.8261
2018-12-11,-1.741372063755989,58.09936255216599,-36.316315561532974,7.8087,7.8466,7.8715,7.7991
2018-12-12,15.049074172973633,29.18867542827502,-29.87791931629181,7.8216,7.8059,7.8353,7.7905
2018-12-13,3.534625247120858,36.88343138992786,-25.736462444067,7.8199,7.8218,7.8408,7.7979
2018-12-14,21.553846329450607,47.72422977164388,-46.48177808523178,7.8122,7.8195,7.8361,7.7792
2018-12-17,-2.7523404955863957,38.5398473739624,-24.1568843126297,7.8266,7.8097,7.8349,7.7975
2018-12-18,-7.937034606933594,81.80520397424698,-45.80078399181366,7.8339,7.8261,7.8632,7.8179
2018-12-19,13.68377533555031,46.60031897760928,-38.52774587273598,7.8412,7.8327,7.8849,7.8319
2018-12-20,-4.151508897542953,79.290851874277,-48.746509313583374,7.8807,7.8427,7.9135,7.8386
2018-12-21,11.855544000864027,51.16288330405951,-41.81032755970955,7.8544,7.8804,7.9218,7.8399
2018-12-24,-1.7826598584651938,56.7049316316843,-34.67066632211208,7.8647,7.8526,7.8918,7.8388
2018-12-25,-14.196884214878082,86.19583102315664,-43.89600297808647,7.8255,7.8646,7.8777,7.8198
2018-12-26,3.5940972715616226,46.5391168743372,-35.07814547419548,7.817,7.8256,7.8678,7.8094
2018-12-27,31.57820425927639,24.50876596197486,-38.93453952670097,7.8488,7.8175,7.8666,7.8022
2018-12-28,42.40348298847675,35.283074244856834,-54.36724206805229,7.8711,7.8501,7.8895,7.8453
2018-12-31,51.34796606004238,-15.471643671393396,-29.570990353822708,7.89,7.8714,7.89,7.8563
2019-01-01,25.455083817243576,-12.065661326050758,-12.709829837083817,7.8855,7.8869,7.9439,7.8587
2019-01-02,21.75878213346005,42.17095735110343,-43.38989362120629,7.7839,7.885,7.8898,7.7715
2019-01-03,-2.5984592884778976,77.47384614869952,-48.37113070487976,7.83,7.7838,7.8431,7.7591
2019-01-04,32.17580061405897,38.81564024090767,-49.7858452796936,7.8274,7.8312,7.8457,7.7977
2019-01-07,33.371356666088104,12.900042658671737,-36.64269933104515,7.8618,7.8228,7.8688,7.8136
2019-01-08,21.457869082689285,34.22255386412144,-38.29609730839729,7.8415,7.8627,7.8701,7.8277
2019-01-09,11.687366239726543,66.73012468079105,-51.90532088279724,7.8676,7.8461,7.8764,7.8157
2019-01-10,27.031771153211597,40.00726157054305,-46.9062864780426,7.8068,7.8639,7.8803,7.7966
2019-01-11,23.561800710856915,40.68603183701634,-43.84403637051582,7.7565,7.8088,7.8224,7.7484
2019-01-14,-18.89741277694702,58.84422429651022,-25.38214999437332,7.7674,7.7557,7.7714,7.7267
2019-01-15,22.888130724430088,29.74301704764366,-38.53277489542961,7.7164,7.7645,7.7754,7.694
2019-01-16,-3.1228059008717537,56.9803214520216,-34.9705762565136,7.7024,7.7203,7.7348,7.6936
2019-01-17,15.524812497198582,35.54855951294303,-36.05944871902466,7.7214,7.6982,7.7282,7.6901
2019-01-18,-17.18905507028103,85.0830149948597,-41.30758082866669,7.703,7.7226,7.736,7.6955
2019-01-21,5.416729241609573,31.858930312097076,-26.6231007874012,7.727,7.7101,7.7409,7.704
2019-01-22,-3.5142947137355804,47.52824701182544,-29.543010383844376,7.7332,7.7205,7.7441,7.7161
2019-01-23,5.101811587810516,57.62718304991722,-40.38931825757027,7.73,7.7342,7.7465,7.6976
2019-01-24,12.234256342053412,40.87924402207136,-37.99321514368057,7.675,7.7324,7.7446,7.6623
2019-01-25,2.984377697110176,47.067998083774,-31.40944498777389,7.6966,7.6723,7.7061,7.6506
2019-01-28,12.18237192928791,7.373345330357552,-15.94250014424324,7.7078,7.695,7.7214,7.6731
2019-01-29,34.547372460365295,14.08128821849823,-36.43981975317001,7.697,7.711,7.721,7.6822
2019-01-30,-0.3066259175539017,42.79117064923048,-28.27632388472557,7.7096,7.7002,7.7264,7.6604
2019-01-31,17.560648929327726,29.068708404898643,-32.75144538283348,7.6704,7.7099,7.7233,7.661
