date,summary,emotion
2021/3/31,"3月30日伦敦银行间同业拆借利率LIBOR今日官网出炉的 2021/03/30 “伦敦银行间拆借利率”数据如下：
隔夜LIBOR：欧元报-0.58214%美元报0.07700%英镑报0.04088%日元报-0.09000%瑞郎报-0.79740%；
1...",positive
2021/3/31,阿斯利康疫苗又遭禁三月连阴欧元多头快哭了德国总理默克尔周二表示根据该国疫苗委员会的建议德国将只给60岁及以上的人接种阿斯利康的新冠疫苗。此前有报道称在该国开始注射疫苗后31人出现罕见的脑血栓。这一决定违背了欧洲药品管理局(EMA)和世界卫生组织的建议...,negative
2021/3/31,纽市盘前：日元六连跌创一年新低！“小非农”不及预计金价持坚3月31日纽市盘前美元指数持坚日元六连跌创一年新低投资者押注大规模财政刺激举措和疫苗接种进展将帮助美国引领全球经济从疫情中复苏。3月“小非农”增幅不及预期金价小幅上涨。,negative
2021/3/31,25家投行前瞻美国3月非农：两大利好发力就业人口料大增北京时间4月2日20:30将公布美国3月季调后非农就业人口变动和失业率包括摩根士丹利在内的25家大型投行发表了对此次数据的前瞻。2月美国就业状况部分仍受到了风雪天气的冲击影响而在3月天气状况转好且疫苗的普及注射开...,positive
2021/3/31,黄金料创下逾四年最大季度跌幅！两股力量推动收益率暴涨现货黄金一季度下跌逾11%可能录得2016年四季度以来最大季度跌幅因美元指数料时隔三个季度后重新收涨10年期美债收益率一季度暴涨近82个基点投资者押注大规模财政刺激举措和疫苗接种进展将帮助美国引领全球经济从疫...,positive
2021/3/31,金价或跌破1600美元？拜登新支出计划将如何影响金价？3月31日金价在震荡小幅下跌一度逼近9个月低点料将录得2016年12月以来最大季度跌幅原因是美国疫苗推出的步伐和进一步刺激计划推动美国国债收益率和美元飙升削弱了避险黄金的吸引力。,negative
2021/3/31,现货黄金多头进场还是逃命？关注本周两重磅事件3月31日现货黄金自逾三周低位反弹。投资者密切关注美国总统拜登将在日内稍后于匹兹堡宣布一项耗资数万亿美元的计划以及4月2日将公布的美国非农就业数据。,negative
2021/3/31,OPEC+面对疫情料选择暂缓大幅增产油价前景正扑朔迷离。3月31日欧市盘前美元指数小幅上涨创近五个月新高。日元跌至一年新低日线或迎来六连跌美油小幅上涨逼近61市场押注OPEC基本维持产量不变。,neutral
2021/3/31,欧市盘前：押注OPEC维持减产美油逼近61日元或六连跌3月31日欧市盘前美元指数小幅上涨创近五个月新高。日元跌至一年新低日线或迎来六连跌美油小幅上涨逼近61市场押注OPEC基本维持产量不变。,positive
2021/3/31,国际金价下看1664美元空头获两股势力背书3月31日国际金价继续承压下行因最新数据显示中国制造业活动增速高于预期打击黄金的避险魅力而美国公债收益率高位运行亦加重金价压力后市进一步下看1664美元。,neutral
2021/3/31,原油交易提醒：疫情与美元大棒下OPEC能否助多头一臂之力？3月31日亚洲时段美国原油小幅上涨。疫情与强美元拖累了油价不过随着今明两天OPEC密集开会多头或有一定的上涨机会。但技术面来看油价仍然承压。,negative
2021/3/31,黄金交易提醒：拜登料推史上最强刺激计划多头能否力挽狂澜？3月31日亚洲时段现货黄金小幅下跌。日内拜登将发表讲话并披露第二份史上最强刺激计划的细节。短线关注1676一线重要支撑多头若失守1676将遭到进一步重创。,positive
2021/3/31,Archegos爆仓灾情估算攀高涉事银行损失或达100亿美元华尔街人士周二纷纷开始点算对冲基金Archegos Capital爆仓事件造成的损失瑞士信贷持续承压金融监管当局则更加紧盯银行业者清算Archegos部位后的损失。摩根大通分析师发布报告称Archegos Cap...,negative
2021/3/31,3月31日香港银行间同业拆借利率港币HIBOR3月31日香港银行间同业拆借利率港币：隔夜报0.06000%1周期报0.07000%1月期报0.13000%3月期报0.23000%6月期报0.42500%。,positive
2021/3/31,3月31日外汇阻力支撑位3月31日外汇阻力支撑位,positive
