date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2018-12-03,-2.731276422739028,39.64367876946926,-25.364363461732864,6.8831,6.9275,6.9367,6.8831
2018-12-04,17.784759879112244,24.590352460741997,-31.3242709338665,6.8373,6.8836,6.8916,6.8338
2018-12-05,27.49620545655489,20.712166011333466,-34.53832125663757,6.8567,6.8518,6.8712,6.8458
2018-12-06,9.575583353638647,35.38142141327262,-31.23449817299843,6.8827,6.8559,6.897,6.8559
2018-12-07,20.291410356760025,22.376909675076604,-30.367271065711975,6.8757,6.88,6.8919,6.8682
2018-12-10,-9.872917085886002,51.637025974690914,-25.53087729215622,6.9117,6.8918,6.9182,6.886
2018-12-11,-1.741372063755989,58.099362552165985,-36.316315561532974,6.9,6.9185,6.9185,6.895
2018-12-12,15.049074172973633,29.18867542827502,-29.87791931629181,6.88,6.8849,6.8951,6.8769
2018-12-13,3.534625247120858,36.883431389927864,-25.736462444067,6.8816,6.8776,6.8837,6.8641
2018-12-14,21.553846329450607,47.72422977164388,-46.48177808523178,6.9077,6.8883,6.9078,6.8869
2018-12-17,-2.7523404955863953,38.5398473739624,-24.1568843126297,6.8972,6.9009,6.9035,6.8927
2018-12-18,-7.937034606933594,81.80520397424698,-45.80078399181366,6.8951,6.8917,6.9017,6.8882
2018-12-19,13.68377533555031,46.60031897760928,-38.52774587273598,6.8922,6.8908,6.8983,6.8873
2018-12-20,-4.151508897542953,79.290851874277,-48.746509313583374,6.8851,6.905,6.915,6.8836
2018-12-21,11.855544000864029,51.162883304059505,-41.81032755970955,6.9065,6.8818,6.9078,6.8818
2018-12-24,-1.7826598584651938,56.7049316316843,-34.67066632211208,6.8991,6.9078,6.9131,6.8949
2018-12-25,-14.196884214878082,86.19583102315664,-43.89600297808647,6.8872,6.8961,6.8979,6.8765
2018-12-26,3.5940972715616226,46.539116874337196,-35.07814547419548,6.8854,6.8873,6.8919,6.8761
2018-12-27,31.57820425927639,24.50876596197486,-38.93453952670097,6.8663,6.8899,6.8964,6.8635
